id,process_code,process_name,description,status,created_at,updated_at
"1","GC","Gia công","Cắt và lồng sản phẩm","active","2026-07-20 01:57:39","2026-07-20 01:57:39"
"2","MAI","Mài","Mài hoàn thiện sản phẩm","active","2026-07-20 01:57:39","2026-07-20 01:57:39"
"3","K1","Kiểm 1","Kiểm tra lần 1","active","2026-07-20 01:57:39","2026-07-20 01:57:39"
"4","K2","Kiểm 2","Kiểm tra lần 2 và đóng gói","active","2026-07-20 01:57:39","2026-07-20 01:57:39"
"60001","DO","Đo","","active","2026-07-22 08:01:34","2026-07-22 08:01:34"
"60002","CAN","Cán","","active","2026-07-22 08:01:34","2026-07-22 09:19:54"
"60003","EP","Ép","","active","2026-07-22 08:01:34","2026-07-22 08:01:34"
"90002","XLBV","Xử lý bề mặt","","active","2026-07-22 09:13:18","2026-07-22 09:13:18"
